speaker,text,split
Ross Geller,"I don't want to be single, okay? I just... I just- I just wanna be married again!",train
Chandler Bing,And I just want a million dollars!,train
Monica Geller,Rachel?!,train
Rachel Green,"Oh God Monica hi! Thank God! I just went to your building and you weren't there and then this guy with a big hammer said you might be here and you are, you are!",train
Monica Geller,"De-caff. Okay, everybody, this is Rachel, another Lincoln High survivor. This is everybody, this is Chandler, and Phoebe, and Joey, and- you remember my brother Ross?",train
Rachel Green,"Hi, sure!",train
Ross Geller,Hi.,train
Monica Geller,"So you wanna tell us now, or are we waiting for four wet bridesmaids?",train
Rachel Green,"Oh God... well, it started about a half hour before the wedding. I was in the room where we were keeping all the presents, and I was looking at this gravy boat. This really gorgeous Lamauge gravy boat. When all of a sudden- Sweet 'n' Lo?- I realized that I was more turned on by this gravy boat than by Barry! And then I got really freaked out, and that's when it hit me: how much Barry looks like Mr. Potato Head. Y'know, I mean, I always knew looked familiar, but... Anyway, I just had to get out of there, and I started wondering 'Why am I doing this, and who am I doing this for?'. So anyway I just didn't know where to go, and I know that you and I have kinda drifted apart, but you're the only person I knew who lived here in the city.",train
Monica Geller,Who wasn't invited to the wedding.,train
Rachel Green,"Ooh, I was kinda hoping that wouldn't be an issue...",train
Monica Geller,"Now I'm guessing that he bought her the big pipe organ, and she's really not happy about it.",train
Chandler Bing,Tuna or egg salad? Decide!,train
Ross Geller,I'll have whatever Christine is having.,train
Rachel Green,"Daddy, I just... I can't marry him! I'm sorry. I just don't love him. Well, it matters to me!",train
Phoebe Buffay,"If I let go of my hair, my head will fall off.",train
Chandler Bing,"Ooh, she should not be wearing those pants.",train
Joey Tribbiani,I say push her down the stairs.,train
Rachel Green,"C'mon Daddy, listen to me! It's like, it's like, all of my life, everyone has always told me, 'You're a shoe! You're a shoe, you're a shoe, you're a shoe!'. And today I just stopped and I said, 'What if I don't wanna be a shoe? What if I wanna be a- a purse, y'know? Or a- or a hat! No, I'm not saying I want you to buy me a hat, I'm saying I am a ha- It's a metaphor, Daddy!",train
Ross Geller,You can see where he'd have trouble.,train
Rachel Green,"Look Daddy, it's my life. Well maybe I'll just stay here with Monica.",train
Monica Geller,"Well, I guess we've established who's staying here with Monica...",train
Rachel Green,"Well, maybe that's my decision. Well, maybe I don't need your money. Wait!! Wait, I said maybe!!",train
Monica Geller,"Just breathe, breathe.. that's it. Just try to think of nice calm things...",train
Phoebe Buffay,"Raindrops on roses and rabbits and kittens, bluebells and sleighbells and- something with mittens... La la la la...something and noodles with string. These are a few...",train
Rachel Green,I'm all better now.,train
Phoebe Buffay,I helped!,train
Monica Geller,"Okay, look, this is probably for the best, y'know? Independence. Taking control of your life. The whole, 'hat' thing.",train
Joey Tribbiani,"And hey, you need anything, you can always come to Joey. Me and Chandler live across the hall. And he's away a lot.",train
Monica Geller,"Joey, stop hitting on her! It's her wedding day!",train
Joey Tribbiani,"What, like there's a rule or something?",train
Chandler Bing,"Please don't do that again, it's a horrible sound.",train
Monica Geller,"Oh God, is it 6:30? Buzz him in!",train
Joey Tribbiani,Who's Paul?,train
Ross Geller,"Paul the Wine Guy, Paul?",train
Monica Geller,Maybe. Joey: Wait. Your 'not a real date' tonight is with Paul the Wine Guy?,train
Ross Geller,He finally asked you out?,train
Monica Geller,Yes!,train
Chandler Bing,"Ooh, this is a Dear Diary moment.",train
Monica Geller,"Rach, wait, I can cancel...",train
Rachel Green,"Please, no, go, that'd be fine!",train
Monica Geller,"Are, are you okay? I mean, do you want me to stay?",train
Ross Geller,That'd be good...,train
Monica Geller,Really?,train
Ross Geller,"No, go on! It's Paul the Wine Guy!",train
Phoebe Buffay,"What does that mean? Does he sell it, drink it, or just complain a lot?",train
Monica Geller,"Hi, come in! Paul, this is.. ... everybody, everybody, this is Paul.",train
Chandler Bing,"I'm sorry, I didn't catch your name. Paul, was it?",train
Monica Geller,"Okay, umm-umm, I'll just--I'll be right back, I just gotta go ah, go ah...",train
Ross Geller,A wandering?,train
Monica Geller,"Change! Okay, sit down. Two seconds.",train
Phoebe Buffay,"Ooh, I just pulled out four eyelashes. That can't be good.",train
Joey Tribbiani,"Hey, Paul!",train
Joey Tribbiani,"Here's a little tip, she really likes it when you rub her neck in the same spot over and over and over again until it starts to get a little red.",train
Monica Geller,"Shut up, Joey!",train
Ross Geller,"So Rachel, what're you, uh... what're you up to tonight?",train
Rachel Green,"Well, I was kinda supposed to be headed for Aruba on my honeymoon, so nothing!",train
Ross Geller,"Right, you're not even getting your honeymoon, God.. No, no, although, Aruba, this time of year... talk about your- -big lizards... Anyway, if you don't feel like being alone tonight, Joey and Chandler are coming over to help me put together my new furniture.",train
Chandler Bing,"Yes, and we're very excited about it.",train
Rachel Green,"Well actually thanks, but I think I'm just gonna hang out here tonight. It's been kinda a long day.",train
Ross Geller,"Okay, sure.",train
Joey Tribbiani,"Hey Pheebs, you wanna help?",train
Phoebe Buffay,"Oh, I wish I could, but I don't want to.",train
Phoebe Buffay,"Love is sweet as summer showers, love is a wondrous work of art, but your love oh your love, your love...is like a giant pigeon...crapping on my heart. La-la-la-la-la- Thank you. La-la-la-la...ohhh!",train
Ross Geller,"I'm supposed to attach a brackety thing to the side things, using a bunch of these little worm guys. I have no brackety thing, I see no whim guys whatsoever and- I cannot feel my legs.",train
Joey Tribbiani,I'm thinking we've got a bookcase here.,train
Chandler Bing,It's a beautiful thing.,train
Joey Tribbiani,What's this?,train
Chandler Bing,I would have to say that is an 'L'-shaped bracket.,train
Joey Tribbiani,Which goes where?,train
Chandler Bing,I have no idea.,train
Joey Tribbiani,Done with the bookcase!,train
Chandler Bing,All finished!,train
Ross Geller,"This was Carol's favorite beer. She always drank it out of the can, I should have known.",train
Joey Tribbiani,"Hey-hey-hey-hey, if you're gonna start with that stuff we're outta here.",train
Chandler Bing,"Yes, please don't spoil all this fun.",train
Joey Tribbiani,"Ross, let me ask you a question. She got the furniture, the stereo, the good TV- what did you get?",train
Ross Geller,You guys.,train
Chandler Bing,"Oh, God.",train
Joey Tribbiani,You got screwed.,train
Chandler Bing,Oh my God!,train
Monica Geller,Oh my God!,train
Monica Geller,"My brother's going through that right now, he's such a mess. How did you get through it?",train
Monica Geller,-leg?,train
Monica Geller,"You actually broke her watch? Wow! The worst thing I ever did was, I-I shredded by boyfriend's favorite bath towel.",train
Monica Geller,That's right.,train
Rachel Green,"Barry, I'm sorry... I am so sorry... I know you probably think that this is all about what I said the other day about you making love with your socks on, but it isn't... it isn't, it's about me, and I ju- Hi, machine cut me off again... anyway...look, look, I know that some girl is going to be incredibly lucky to become Mrs. Barry Finkel, but it isn't me, it's not me. And not that I have any idea who me is right now, but you just have to give me a chance too...",train
Ross Geller,I'm divorced! I'm only 26 and I'm divorced!,train
Joey Tribbiani,Shut up!,train
Chandler Bing,You must stop!,train
Ross Geller,That only took me an hour.,train
Chandler Bing,"Look, Ross, you gotta understand, between us we haven't had a relationship that has lasted longer than a Mento. You, however have had the love of a woman for four years. Four years of closeness and sharing at the end of which she ripped your heart out, and that is why we don't do it! I don't think that was my point!",train
Ross Geller,"You know what the scariest part is? What if there's only one woman for everybody, y'know? I mean what if you get one woman- and that's it? Unfortunately in my case, there was only one woman- for her...",train
Joey Tribbiani,"What are you talking about? 'One woman'? That's like saying there's only one flavor of ice cream for you. Lemme tell you something, Ross. There's lots of flavors out there. There's Rocky Road, and Cookie Dough, and Bing! Cherry Vanilla. You could get 'em with Jimmies, or nuts, or whipped cream! This is the best thing that ever happened to you! You got married, you were, like, what, eight? Welcome back to the world! Grab a spoon!",train
Ross Geller,I honestly don't know if I'm hungry or horny.,train
Chandler Bing,Stay out of my freezer!,train
Monica Geller,"What?..... What, you wanna spell it out with noodles?",train
Monica Geller,"Oh, so there is gonna be a fifth date?",train
Monica Geller,"Yeah... yeah, I think there is. -What were you gonna say?",train
Monica Geller,"Oh God, oh God, I am sorry... I am so sorry...",train
Monica Geller,I know being spit on is probably not what you need right now. Um... how long?,train
Monica Geller,Wow! I'm-I'm-I'm glad you smashed her watch!,train
Monica Geller,"...Yeah. Yeah, I do.",train
Rachel Green,Oh...see... but Joanne loved Chachi! That's the difference!,train
Ross Geller,"Grab a spoon. Do you know how long it's been since I've grabbed a spoon? Do the words 'Billy, don't be a hero' mean anything to you?",train
Joey Tribbiani,"Great story! But, I uh, I gotta go, I got a date with Andrea--Angela--Andrea... Oh man,",train
Chandler Bing,"Angela's the screamer, Andrea has cats.",train
Joey Tribbiani,Right. Thanks. It's June. I'm outta here.,train
Ross Geller,"Y'know, here's the thing. Even if I could get it together enough to- to ask a woman out,... who am I gonna ask?",train
Rachel Green,"Isn't this amazing? I mean, I have never made coffee before in my entire life.",train
Chandler Bing,That is amazing.,train
Joey Tribbiani,Congratulations.,train
Rachel Green,"Y'know, I figure if I can make coffee, there isn't anything I can't do.",train
Chandler Bing,"If can invade Poland, there isn't anything I can't do.",train
Joey Tribbiani,"Listen, while you're on a roll, if you feel like you gotta make like a Western omelet or something... Although actually I'm really not that hungry...",train
Monica Geller,"Oh good, Lenny and Squigy are here.",train
Joey Tribbiani,"Morning, Paul.",train
Rachel Green,"Hello, Paul.",train
Chandler Bing,"Hi, Paul, is it?",train
Monica Geller,Stop!,train
Monica Geller,We'll talk later.,train
Joey Tribbiani,That wasn't a real date?! What the hell do you do on a real date?,train
Monica Geller,"Shut up, and put my table back.",train
Chandler Bing,"All right, kids, I gotta get to work. If I don't input those numbers,... it doesn't make much of a difference...",train
Rachel Green,"So, like, you guys all have jobs?",train
Monica Geller,"Yeah, we all have jobs. See, that's how we buy stuff.",train
Joey Tribbiani,"Yeah, I'm an actor.",train
Rachel Green,Wow! Would I have seen you in anything?,train
Joey Tribbiani,I doubt it. Mostly regional work.,train
Monica Geller,"Oh wait, wait, unless you happened to catch the Reruns' production of Pinocchio, at the little theater in the park.",train
Joey Tribbiani,"Look, it was a job all right?",train
Chandler Bing,"'Look, Gippetto, I'm a real live boy.'",train
Joey Tribbiani,I will not take this abuse.,train
Chandler Bing,"You're right, I'm sorry. ""Once I was a wooden boy, a little wooden boy...""",train
Joey Tribbiani,"You should both know, that he's a dead man. Oh, Chandler?",train
Monica Geller,So how you doing today? Did you sleep okay? Talk to Barry? I can't stop smiling.,train
Rachel Green,I can see that. You look like you slept with a hanger in your mouth.,train
Monica Geller,"I know, he's just so, so... Do you remember you and Tony DeMarco?",train
Rachel Green,"Oh, yeah.",train
Monica Geller,"Well, it's like that. With feelings.",train
Rachel Green,Oh wow. Are you in trouble.,train
Monica Geller,Big time!,train
Rachel Green,Want a wedding dress? Hardly used.,train
Monica Geller,"I think we are getting a little ahead of selves here. Okay. Okay. I am just going to get up, go to work and not think about him all day. Or else I'm just gonna get up and go to work.",train
Rachel Green,"Oh, look, wish me luck!",train
Monica Geller,What for?,train
Rachel Green,I'm gonna go get one of those job things.,train
Monica Geller,"Hey Frannie, welcome back! How was Florida?",train
Monica Geller,How do you do that?,train
Monica Geller,You know Paul?,train
Monica Geller,You mean you know Paul like I know Paul?,train
Joey Tribbiani,Of course it was a line!,train
Monica Geller,"Why?! Why? Why, why would anybody do something like that?",train
Ross Geller,I assume we're looking for an answer more sophisticated than 'to get you into bed'.,train
Monica Geller,I hate men! I hate men!,train
Phoebe Buffay,"Oh no, don't hate, you don't want to put that out into the universe.",train
Monica Geller,Is it me? Is it like I have some sort of beacon that only dogs and men with severe emotional problems can hear?,train
Phoebe Buffay,"All right, c'mere, gimme your feet.",train
Monica Geller,"I just thought he was nice, y'know?",train
Joey Tribbiani,I can't believe you didn't know it was a line!,train
Rachel Green,Guess what?,train
Ross Geller,You got a job?,train
Rachel Green,Are you kidding? I'm trained for nothing! I was laughed out of twelve interviews today.,train
Chandler Bing,And yet you're surprisingly upbeat.,train
Rachel Green,"You would be too if you found John and David boots on sale, fifty percent off!",train
Chandler Bing,"Oh, how well you know me...",train
Rachel Green,"They're my new 'I don't need a job, I don't need my parents, I've got great boots' boots!",train
Monica Geller,How'd you pay for them?,train
Rachel Green,"Uh, credit card.",train
Monica Geller,And who pays for that?,train
Rachel Green,Um... my... father.,train
Rachel Green,"Oh God, come on you guys, is this really necessary? I mean, I can stop charging anytime I want.",train
Monica Geller,"C'mon, you can't live off your parents your whole life.",train
Rachel Green,I know that. That's why I was getting married.,train
Phoebe Buffay,"Give her a break, it's hard being on your own for the first time.",train
Rachel Green,Thank you.,train
Phoebe Buffay,"You're welcome. I remember when I first came to this city. I was fourteen. My mom had just killed herself and my step-dad was back in prison, and I got here, and I didn't know anybody. And I ended up living with this albino guy who was, like, cleaning windshields outside port authority, and then he killed himself, and then I found aromatherapy. So believe me, I know exactly how you feel.",train
Ross Geller,The word you're looking for is 'Anyway'...,train
Monica Geller,"All right, you ready?",train
Rachel Green,"No. No, no, I'm not ready! How can I be ready? ""Hey, Rach! You ready to jump out the airplane without your parachute?"" Come on, I can't do this!",train
Monica Geller,"You can, I know you can!",train
Rachel Green,I don't think so.,train
Ross Geller,"Come on, you made coffee! You can do anything!",train
Ross Geller,"C'mon, cut. Cut, cut, cut,...",train
Rachel Green,Y'know what? I think we can just leave it at that. It's kinda like a symbolic gesture...,train
Monica Geller,Rachel! That was a library card!,train
Chandler Bing,"Y'know, if you listen closely, you can hear a thousand retailers scream.",train
Monica Geller,Welcome to the real world! It sucks. You're gonna love it!,train
Monica Geller,"Well, that's it You gonna crash on the couch?",train
Ross Geller,"No. No, I gotta go home sometime.",train
Monica Geller,You be okay?,train
Ross Geller,Yeah.,train
Rachel Green,"Hey Mon, look what I just found on the floor. What?",train
Monica Geller,"That's Paul's watch. You just put it back where you found it. Oh boy. Alright. Goodnight, everybody.",train
Ross Geller,"Mmm. Oh, no-",train
Rachel Green,Sorry-,train
Ross Geller,"No no no, go-",train
Rachel Green,"No, you have it, really, I don't want it-",train
Ross Geller,Split it?,train
Rachel Green,Okay.,train
Ross Geller,"Okay. You know you probably didn't know this, but back in high school, I had a, um, major crush on you.",train
Rachel Green,I knew.,train
Ross Geller,You did! Oh.... I always figured you just thought I was Monica's geeky older brother.,train
Rachel Green,I did.,train
Ross Geller,"Oh. Listen, do you think- and try not to let my intense vulnerability become any kind of a factor here- but do you think it would be okay if I asked you out? Sometime? Maybe?",train
Rachel Green,"Yeah, maybe...",train
Ross Geller,"Okay... okay, maybe I will...",train
Rachel Green,Goodnight.,train
Ross Geller,Goodnight.,train
Monica Geller,"See ya.... Waitwait, what's with you?",train
Ross Geller,I just grabbed a spoon.,train
Joey Tribbiani,I can't believe what I'm hearing here.,train
Phoebe Buffay,I can't believe what I'm hearing here...,train
Monica Geller,What? I-I said you had a-,train
Phoebe Buffay,What I said you had...,train
Monica Geller,Would you stop?,train
Phoebe Buffay,"Oh, was I doing it again?",train
Monica Geller,"I said that you had a nice butt, it's just not a great butt.",train
Joey Tribbiani,"Oh, you wouldn't know a great butt if it came up and bit ya.",train
Ross Geller,There's an image.,train
Rachel Green,Would anybody like more coffee?,train
Chandler Bing,"Did you make it, or are you just serving it?",train
Rachel Green,I'm just serving it.,train
Chandler Bing,"Kids, new dream... I'm in Las Vegas.",train
Rachel Green,"Ugh. Excuse me, could you give this to that guy over there? Go ahead. Thank you. Sorry. Okay, Las Vegas.",train
Chandler Bing,"Okay, so, I'm in Las Vegas... I'm Liza Minelli-",train
Monica Geller,"What you guys don't understand is, for us, kissing is as important as any part of it.",train
Joey Tribbiani,"Yeah, right!.......Y'serious?",train
Phoebe Buffay,"Oh, yeah!",train
Rachel Green,Everything you need to know is in that first kiss.,train
Monica Geller,Absolutely.,train
Chandler Bing,"Yeah, I think for us, kissing is pretty much like an opening act, y'know? I mean it's like the stand-up comedian you have to sit through before Pink Floyd comes out.",train
Ross Geller,"Yeah, and-and it's not that we don't like the comedian, it's that-that... that's not why we bought the ticket.",train
Chandler Bing,"The problem is, though, after the concert's over, no matter how great the show was, you girls are always looking for the comedian again, y'know? I mean, we're in the car, we're fighting traffic... basically just trying to stay awake.",train
Rachel Green,"Yeah, well, word of advice: Bring back the comedian. Otherwise next time you're gonna find yourself sitting at home, listening to that album alone.",train
Joey Tribbiani,....Are we still talking about sex?,train
Ross Geller,"No, it's good, it is good, it's just that- mm- doesn't she seem a little angry?",train
Ross Geller,Does she.,train
Ross Geller,"Marsha, these are cave people. Okay? They have issues like 'Gee, that glacier's getting kinda close.' See?",train
Ross Geller,No. No.,train
Ross Geller,"Okay, okay, yes, it is. How about I'll, uh, catch up with you in the Ice Age.",train
Ross Geller,Hi.,train
Ross Geller,"You look great. I, uh... I hate that.",train
Ross Geller,"Ah, well, in here, anyone who... stands erect... So what's new? Still, uh...",train
Ross Geller,"Well... you never know. How's, um.. how's the family?",train
Ross Geller,"Why- why are you here, Carol?",train
Ross Geller,Pregnant?!,train
Chandler Bing,"Oh, I think this is the episode of Three's Company where there's some kind of misunderstanding.",train
Phoebe Buffay,...Then I've already seen this one!,train
Monica Geller,Are you through with that?,train
Joey Tribbiani,"Yeah, sorry, the swallowing slowed me down.",train
Monica Geller,Whose little ball of paper is this?!,train
Chandler Bing,"Oh, uh, that would be mine. See, I wrote a note to myself, and then I realised I didn't need it, so I balled it up and... ...now I wish I was dead.",train
Phoebe Buffay,"She's already fluffed that pillow... Monica, you know, you've already fluffed that- -but, it's fine!",train
Monica Geller,"Look , I'm sorry, guys, I just don't wanna give them any more ammunition than they already have.",train
Chandler Bing,"Yes, and we all know how cruel a parent can be about the flatness of a child's pillow.",train
Phoebe Buffay,"Monica- Hi! Um, Monica, you're scaring me. I mean, you're like, you're like all chaotic and twirly. And not-not in a good way.",train
Joey Tribbiani,"Yeah, calm down. You don't see Ross getting all chaotic and twirly every time they come.",train
Monica Geller,"That's because as far as my parents are concerned, Ross can do no wrong. Y'see, he's the Prince. Apparently they had some big ceremony before I was born.",train
Chandler Bing,"Ew, ew, ew, ew ew ew ew ew!",train
Monica Geller,What?,train
Chandler Bing,Ugly Naked Guy got a Thighmaster!,train
Rachel Green,Has anybody seen my engagement ring?,train
Phoebe Buffay,"Yeah, it's beautiful.",train
Rachel Green,"Oh God, oh God, oh God oh God oh God oh God....",train
Phoebe Buffay,"No, look, don't touch that!",train
Rachel Green,"Oh, like I wasn't dreading tomorrow enough, having to give it back to him... 'Hi Barry! Remember me? I'm the girl in the veil who stomped on your heart in front of your entire family!' Oh God and now I'm gonna have to return the ring, without the ring, which makes it so much harder...",train
Monica Geller,"Easy Rach, we'll find it. Won't we!",train
Joey Tribbiani,"Alright, when'd'ya have it on last?",train
Phoebe Buffay,Doy! Probably right before she lost it!,train
Chandler Bing,You don't get a lot of 'doy' these days...,train
Rachel Green,"I know I had it this morning, and I know I had it when I was in the kitchen with...",train
Chandler Bing,...Dinah?,train
Rachel Green,"Ohhhhh, don't be mad...",train
Monica Geller,You didn't.,train
Rachel Green,"Oh, I am sorry...",train
Monica Geller,I gave you one job!,train
Rachel Green,"Oh, but look how straight those noodles are!",train
Chandler Bing,"Now, Monica, you know that's not how you look for an engagement ring in a lasagne...",train
Monica Geller,I just... can't do it.,train
Chandler Bing,Boys? We're going in.,train
Ross Geller,.....Hi.,train
Monica Geller,Wow. That is not a happy hi.,train
Ross Geller,Carol's pregnant.,train
Phoebe Buffay,Ooh! I found it!,train
Monica Geller,W-w-wh-... wha-... w-w-w-...,train
Ross Geller,"Yeah. Do that for another two hours, you might be where I am right about now.",train
Chandler Bing,"Kinda puts that whole pillow thing in perspective, huh, Mon?",train
Rachel Green,"Well now, how-how do you fit into this whole thing?",train
Ross Geller,"Well, Carol says she and Susan want me to be involved, but if I'm not comfortable with it, I don't have to be involved.. basically it's entirely up to me.",train
Phoebe Buffay,She is so great! I miss her.,train
Monica Geller,What does she mean by 'involved'?,train
Chandler Bing,"I mean presumably, the biggest part of your job is done.",train
Ross Geller,"Anyway, they want me to go down to this- sonogram thing with them tomorrow.",train
Rachel Green,So what are you gonna do?,train
Ross Geller,"I have no idea. No matter what I do, though, I'm still gonna be a father.",train
Joey Tribbiani,".....Well, this is still ruined, right?",train
Monica Geller,Curry.,train
Ross Geller,"I- I think they're great! I, I really do.",train
Ross Geller,"Do you remember the Ludwins? The big one had a thing for you, didn't she?",train
Ross Geller,"Aw, Mom...",train
Monica Geller,"I'm sorry, why is this girl going to call me?",train
Monica Geller,"No Mom, I don't have a restaurant, I work in a restaurant.",train
Monica Geller,"Ross, could you come and help me with the spaghetti, please?",train
Ross Geller,Yeah.,train
Monica Geller,"I know this is going to sound unbelievably selfish, but, were you planning on bringing up the whole baby/lesbian thing? Because I think it might take some of the heat off me.",train
Ross Geller,I'm not gonna tell you what they spent on that wedding... but forty thousand dollars is a lot of money!,train
Monica Geller,What's that supposed to mean?,train
Monica Geller,No it's not.,train
Ross Geller,"Don't listen to your mother. You're independent, and you always have been! Even when you were a kid... and you were chubby, and you had no friends, you were just fine! And you would read alone in your room, and your puzzles...",train
Ross Geller,"Look, there are people like Ross who need to shoot for the stars, with his museum, and his papers getting published. Other people are satisfied with staying where they are- I'm telling you, these are the people who never get cancer.",train
Ross Geller,"...And I read about these women trying to have it all, and I thank God 'Our Little Harmonica' doesn't seem to have that problem.",train
Monica Geller,"So, Ross, what's going on with you? Any stories? No news, no little anecdotes to share with the folks?",train
Ross Geller,"Okay! Okay. Look, I, uh- I realise you guys have been wondering what exactly happened between Carol and me, and, so, well, here's the deal. Carol's a lesbian. She's living with a woman named Susan. She's pregnant with my child, and she and Susan are going to raise the baby.",train
Joey Tribbiani,"Your folks are really that bad, huh?",train
Ross Geller,"Well, y'know, these people are pros. They know what they're doing, they take their time, they get the job done.",train
Monica Geller,"Boy, I know they say you can't change your parents,... boy, if you could- -I'd want yours.",train
Ross Geller,Must pee.,train
Phoebe Buffay,"Y'know, it's even worse when you're twins.",train
Rachel Green,You're twins?,train
Phoebe Buffay,"Yeah. We don't speak. She's like this high-powered, driven career type.",train
Chandler Bing,What does she do?,train
Phoebe Buffay,She's a waitress.,train
Rachel Green,"All right, you guys, I kinda gotta clean up now.",train
Monica Geller,"Chandler, you're an only child, right? You don't have any of this.",train
Chandler Bing,"Well, no, although I did have an imaginary friend, who... my parents actually preferred.",train
Rachel Green,"The lights, please..",train
Ross Geller,...How long was I in there?,train
Rachel Green,I'm just cleaning up.,train
Ross Geller,D'ya.. uh.. d'ya need any help?,train
Rachel Green,"Uh.. okay, sure! Thanks!",train
Ross Geller,"Anyway.. um.. So, you- uh- you nervous about Barry tomorrow?",train
Rachel Green,Oh.. a little..,train
Ross Geller,Mm-hmm..,train
Rachel Green,A lot.,train
Ross Geller,Mm.,train
Rachel Green,"So, got any advice? Y'know, as someone who's recently been- dumped?",train
Ross Geller,"Well, you may wanna steer clear of the word 'dumped'. Chances are he's gonna be this, this broken shell of a man, y'know, so you should try not to look too terrific, I know it'll be hard. Or, y'know, uh, hey!, I'll go down there, and I'll give Barry back his ring, and you can go with Carol and Susan to the OB/GYN...",train
Rachel Green,"Oh, you've got Carol tomorrow.. When did it get so complicated?",train
Ross Geller,Got me.,train
Rachel Green,Remember when we were in high school together?,train
Ross Geller,Yeah.,train
Rachel Green,"I mean, didn't you think you were just gonna meet somone, fall in love- and that'd be it? ..Ross?",train
Ross Geller,"Yes, yes!",train
Rachel Green,"Oh! Man, I never thought I'd be here..",train
Ross Geller,Me either...,train
Ross Geller,"Sorry I'm late, I was stuck at work. There was this big dinosaur.. thing.. anyway.",train
Ross Geller,How could I forget?,train
Ross Geller,"Hello, Susan. Good shake. Good shake. So, uh, we're just waiting for...?",train
Ross Geller,..Dr. Oberman. Okay. And is he-,train
Ross Geller,"-she, of course, she- uh- familiar with our.. special situation?",train
Ross Geller,"Okay, that's great. No, I'm- Oh.",train
Ross Geller,"Quack, quack..",train
Rachel Green,Barry?,train
Rachel Green,Are you sure?,train
Rachel Green,I'm- uh- I'm okay... You look great!,train
Rachel Green,I dumped him.,train
Ross Geller,"So, um- so how's this, uh, how's this gonna work? Y'know, with us? Y'know, when, like, important decisions have to be made?",train
Ross Geller,"Well, uh, uh, I don't know, okay, okay, how about with the, uh, with the baby's name?",train
Ross Geller,Marlon?!,train
Ross Geller,...As in Mouse?,train
Ross Geller,"Still, you- you say Minnie, you hear Mouse. Um, how about, um.. how about Julia?",train
Ross Geller,"'S'funny, um, uh, we agreed we'd spend the rest of our lives together. Things change, roll with the punches. I believe Julia's on the table..?",train
Rachel Green,"Oh, not much. I-I got a job.",train
Rachel Green,Why are- why are you so tanned?,train
Rachel Green,Oh no. You went on our honeymoon alone?,train
Rachel Green,"Mindy?! My maid of honour, Mindy?!",train
Rachel Green,"Oh! Well, um.. You've got plugs!",train
Rachel Green,And you've got lenses! But you hate sticking your finger in your eye!,train
Rachel Green,Okay..,train
Rachel Green,Wow.,train
Rachel Green,What?,train
Rachel Green,"Anyway, um, I guess this belongs to you. And thank you for giving it to me.",train
Ross Geller,Helen Geller? I don't think so.,train
Ross Geller,Thank you!,train
Ross Geller,"What, it's gonna be Helen Willick?",train
Ross Geller,"Well, wait a minute, wha- why is she in the title?",train
Ross Geller,"Oh, 's'funny, really? Um, I don't remember you making any sperm.",train
Ross Geller,"No no no, she gets a credit, hey, I'm in there too.",train
Ross Geller,"Of course not, I'm... suggesting Geller-Willick-Bunch.",train
