ground-truth,model output,input text,input context
Rachel Green,Rachel Green,"No Mon, you want to put them in concentric circles. I want to do this.","Monica Geller: Okay, Rachel, you wanna put the marshmallows in concentric circles."
Joey Tribbiani,Joey Tribbiani,"Man, I've got food all over me.",Chandler Bing: My cranberries!
Ross Geller,Ross Geller,Yes?,Rachel Green: ...Ross?
Phoebe Buffay,Joey Tribbiani,"I got married! Could someone get me a coat, I'm freaking freezing.",Joey Tribbiani: I now pronounce you... husband and wife.
Ross Geller,Ross Geller,"You know, I gotta go find him. He's gotta be here someplace.","Rachel Green: That is hard to say, Ross. That is hard to say."
Rachel Green,Rachel Green,"Oh, I know... I know it's been really hard for you.",Ross Geller: And you know I wanted to ask Charlie out since the day I met her.
Ross Geller,Ross Geller,"Wait, wait a minute, there's no light on the back wall! How do I know when it's gonna start? Hello? Ah, oh, ah! Ah! The same thing happened again!",Ross Geller: Ok!
Phoebe Buffay,Phoebe Buffay,Yeah.,"Phoebe Buffay: Er, Rita, this is my husband."
Ross Geller,Ross Geller,Ok. B - O - S ...,"Ross Geller: um... I've never heard of a ""Boscodictiasaur""."
Chandler Bing,Chandler Bing,"We don't. Not until it's a hundred percent. I mean, why upset everybody over nothing.",Monica Geller: Gotcha. When do we tell them about this?
Chandler Bing,Joey Tribbiani,"No, I just had to get a picture of this.","Ross Geller: Dude, you're not tanned."
Chandler Bing,Chandler Bing,You know you don't want me to help. You can't have it both ways!,Monica Geller: We?
Phoebe Buffay,Phoebe Buffay,ME TOO! I NEVER THOUGHT I COULD LOVE SOMEONE THIS MUCH!,"Phoebe Buffay: Excuse me, anniversary. Excuse me, anniversary. . Uhm, sir, could you move your nachos... they're in my seat. It's my anniversary. Here we are! . Can't believe it's been a whole year!"
Rachel Green,Rachel Green,Really?,"Phoebe Buffay: Okay. Rachel, the hottest babies in the Tri-State Area are in this room right now! I overheard one of the judges say that not one of them holds a candle to Emma!"
Monica Geller,Monica Geller,"That's right. You're making a commitment and that's the same, whether you do that at the Plaza or, where are you gonna do it?","Phoebe Buffay: We, you know, we're different! We don't care about having a huge party. This is really nice for you, but, oh, please, I put this on? And, ow, I look , why, well, radiant. All right, well, who cares, I don't need a pretty veil and a fancy dress."
Monica Geller,Monica Geller,What about your massage client?,"Phoebe Buffay: Oh good, I didn't miss the party."
Monica Geller,Monica Geller,That place in Vermont? You can take a hint!,"Chandler Bing: Honey, I got us that room at the Woodford Inn this weekend."
Rachel Green,Monica Geller,"Oh, you know what? Let's not say anything else. I love you.","Chandler Bing: Let me just say something... Because once we get into this, I'm gonna get all uncomfortable and probably make some stupid joke... I just want to say that I... I love you... And, I'm gonna miss you. And I'm so sad that you're leaving."
Phoebe Buffay,Joey Tribbiani,m'ap.,Joey Tribbiani: je.
Joey Tribbiani,Joey Tribbiani,Yeah. It's actually our first official date.,"Chandler Bing: So, you and Rachel tonight, huh?"
Rachel Green,Rachel Green,Really? Excited?,"Ross Geller: Well, I'm so excited about this."
Rachel Green,Rachel Green,"Oh no, it's still nap time. But she'll be up soon.","Ross Geller: That's the hope! So, is Emma awake yet?"
Ross Geller,Joey Tribbiani,Hey you guys!,"Rachel Green: Oh, don't be such a baby! end."
Ross Geller,Ross Geller,"No, no, I knew .","Ross Geller: Right, no, I understand."
Monica Geller,Monica Geller,"Chandler, stop! It is not going to pop open!","Rachel Green: No need!! Problem solved, we are powering through ."
Phoebe Buffay,Chandler Bing,Great!,Monica Geller: Joey is gonna be a celebrity guest on a game show!
Joey Tribbiani,Rachel Green,"Oh, no, no, no, no, no. You just want to put it on your hand!",Ross Geller: You may want to lose the foam finger!
Ross Geller,Ross Geller,Hey!,"Rachel Green: I guess... Oh, I just had such an idea of what this day would be like, you know? Emma laughing and everybody gathered around her cake singing ""Happy Birthday"". Then we would all go into... HEY GET OUT OF THE ROAD YOU STUPID STUDENT DRIVER!!! They have to learn!"
Ross Geller,Ross Geller,Hi Rachel! Here's your sister Amy! She thinks I need pec implants!,"Ross Geller: Yes, yes, you did."
Monica Geller,Monica Geller,"Well, if it annoys you so much, then why do you do it?","Chandler Bing: Oh, those places! There's always so many people, their being corralled like cattle, and... you know, there's always some idiot who goes ""Mooooo""!"
Ross Geller,Ross Geller,We'll see how dinner goes.,"Ross Geller: Ok, now, is there anything I can do to... you know, butter him up? Anything he really likes?"
Rachel Green,Rachel Green,"Oh God. What about you, Joe? What would you give up, sex or food?",Ross Geller: Oh my God. It's like Sophie's Choice.
Phoebe Buffay,Joey Tribbiani,"You gotta hear this, it's great... It's like free porn!",Chandler Bing: Okay Buckwheat!
Chandler Bing,Chandler Bing,That would be a lot more convincing if you weren't drooling.,Joey Tribbiani: Fine! Let's just go. I don't need your stupid dinner.
Monica Geller,Monica Geller,Oh my god!,"Monica Geller: Well, we appreciate anything you can tell us."
Ross Geller,Chandler Bing,I am this close to tugging on my testicles again.,Joey Tribbiani: Uh.. is it ok that I still think it looks delicious?
Chandler Bing,Chandler Bing,Jumping on the bed?,Monica Geller: From?
Rachel Green,Rachel Green,Ok...,Ross Geller: Ok...
Monica Geller,Monica Geller,"Oh my God! YOU FORGOT THE PIES? Well, I cannot believe this. You force me to make dinner, then you're an hour late and you forget the one little thing that I asked you to do.",Rachel Green: Congratulatioooons!
Ross Geller,Ross Geller,"Duh, you think?","Rachel Green: Wow! Well, clearly this is not a good time."
Ross Geller,Joey Tribbiani,"I thought I heard voices! Hi Charlie! Hi Joey. And.. Oh! You're gonna have to introduce me to your new girlfriend. I'm just kidding, I know Rachel, I know. Come, please come in. Come in.","Joey Tribbiani: Yeah, I didn't throw any of that out.."
Monica Geller,Monica Geller,...If-you-say-so.,"Monica Geller: Are you gonna be ok, officer, uhm,..."
Phoebe Buffay,Phoebe Buffay,Uh-huh.,Phoebe Buffay: Frank Jr.Jr.?
Ross Geller,Ross Geller,I'm sure he'll understand.,Rachel Green: But I already told Zelner that I would come back...
Monica Geller,Monica Geller,"Alright, we don't know that it's him. I mean, it could be the football guy.",Chandler Bing: Of course I'm awake. Assume from now on that I'm always awake!
Joey Tribbiani,Joey Tribbiani,"Hey, don't get mad at us! No one forced you to raise the stakes!","Rachel Green: Y'know what, you are mean boys, who are just being mean!"
Monica Geller,Monica Geller,"Oh my God, he's beautiful. Thank you so much.",Chandler Bing: Okay.
Monica Geller,Monica Geller,AFFIRMATIVE!,"Phoebe Buffay: Me too! Monica, do you think we could do it?"
Monica Geller,Monica Geller,I have you scheduled for nudity at 2300 hours.,Chandler Bing: Is it okay that I want you to wear that head set in bed tonight?
Ross Geller,Monica Geller,"You made out with Missy Goldberg. How could you do that, after you promised me?","Joey Tribbiani: Oh, then pass."
Phoebe Buffay,Phoebe Buffay,"Oh my god, Frank, are you thinking of leaving? Because I didn't have those triplets so you could just run out on them!",Phoebe Buffay: What?
Rachel Green,Rachel Green,"Absolutely! Absolutely. I d... it's just a little weird, it's you, and it's me, it's just gonna take some getting used to.","Joey Tribbiani: Rach, you sure you wanna do this?"
Ross Geller,Ross Geller,What?,"Joey Tribbiani: Ross, Ross, Ross... It's okay."
Monica Geller,Monica Geller,How?,Chandler Bing: I'd keep an eye on him! We have to find out which one the father is.
Joey Tribbiani,Ross Geller,Yeah.,Rachel Green: So.
Rachel Green,Rachel Green,oooh! Oh oh!,Ross Geller: Damnit!
Monica Geller,Monica Geller,"Hi. It is so, so nice to meet you.",Monica Geller: Well... obviously!
Joey Tribbiani,Joey Tribbiani,What is wrong with me. It looked more delicious when it was a penis.,"Phoebe Buffay: Hey, you made it into a bunny."
Monica Geller,Monica Geller,"Well, we... ""bore false witness""... See I could be a reverend.","Monica Geller: Yeah, but the important thing to know about us, is how much we would care for this little baby."
Ross Geller,Ross Geller,"B, B, B, B, B!",Ross Geller: Oh... Ohh... I'd love to but I really have to grade these papers.
Ross Geller,Ross Geller,"Hey, what are you talking about? I'm fine!","Joey Tribbiani: Well, she and I said from the beginning that we weren't gonna do anything unless you were okay with it. And clearly.."
Joey Tribbiani,Ross Geller,"Ok, you're scaring me a little bit.","Rachel Green: Ok Sexy, sexy, very sexy, sexy. Alright! Lets do it!"
Ross Geller,Ross Geller,"Right, is it painful?","Ross Geller: Well, I came with Rachel, who should be back any second! So what's new?"
Monica Geller,Monica Geller,"Alright, lets say that it is him, would we not want the baby? No! Would we treat him any differently?","Chandler Bing: Honey, it's us. Of course it's the shovel-killer."
Joey Tribbiani,Monica Geller,"So we'll leave before it's over, we'll be back in time.","Chandler Bing: Dinner is at four, we'll never gonna make it back."
Chandler Bing,Chandler Bing,Hey!,Joey Tribbiani: Hey!
Monica Geller,Monica Geller,"Alright, I'll be right back.","Monica Geller: No, last time you said it like Dracula, and it scared her! Can I get you anything? You want some more ice chips?"
Monica Geller,Monica Geller,"Okay, you come up with an idea.","Chandler Bing: That is a great idea! And by the way, I don't mean to sound distasteful, but when did you start crapping money!?"
Rachel Green,Rachel Green,"Oh, it was great. Mark is so sweet.","Ross Geller: Hey, so uhm... How was dinner?"
Joey Tribbiani,Monica Geller,"No, no no no no. See. Each woman is different.You have to appreciate their uniqueness.",Chandler Bing: Really? Like you have a routine?
Joey Tribbiani,Joey Tribbiani,"Hey bear, I need some career advice.","Joey Tribbiani: I mean, this soap opera is a great gig, but... am I missing opportunities? You know, I've always thought of myself as a serious actor. I mean, should I be trying to do more independent movies?"
Rachel Green,Rachel Green,"Yeah, yeah sure! Yeah!",Ross Geller: Do you mind if I sit here for a sec.?
Phoebe Buffay,Phoebe Buffay,"Oh how lame... oh, it's so tacky, and impersonal.",Phoebe Buffay: YOU'RE SO GENEROUS AND KIND AND YOU'RE AMAZING IN BED IT'S OUR ANNIVERSARY!
Monica Geller,Monica Geller,"Ok, so you've done some good work! What about your carry-ons?","Rachel Green: I know... Honey, seriously, I did it all. The luggage that I'm taking is in the bedroom, this is Emma's Paris stuff, these are the boxes that I'm having shipped, and that's the sandwich that I made for the plane..."
Chandler Bing,Chandler Bing,"Well, I can't do it either.","Joey Tribbiani: Okay, here we go. I can't do it."
Ross Geller,Ross Geller,"Oh, man, I'm not going to be able to handle this. Now I know how my students feel at the end of each year. And why they act out by giving me such bad evaluations.","Phoebe Buffay: Yeah, I know, it's gonna be even worse for you... God... Ross, get ready to do some serious crying."
Ross Geller,Ross Geller,It's the dog.,"Rachel Green: Geez Ross, you could have showered."
Ross Geller,Joey Tribbiani,"Guess who's a finalist for a huge research grant! I'll give you a hint, he's looking right at you.",Ross Geller: Hey!
Monica Geller,Monica Geller,To use the bathroom.,Chandler Bing: Where are you going?
Ross Geller,Chandler Bing,THE HELL I DO!,"Monica Geller: And say what? ""You owe me a goodbye"", I mean, he's got more pride than that."
Phoebe Buffay,Phoebe Buffay,Ok! I want the dolphin!,Monica Geller: Everybody get your toys!
Phoebe Buffay,Phoebe Buffay,"That's right, I've prepared a song for Emma. From my heart to hers. For there's no greater gift, than the gift of music. Emma! Your name poses a dilemma. 'Cause not much else rhymes with Emma! Maybe the actor Richard Crenna, he played the commanding officer in Rambo. Happy birthday Emma!","Rachel Green: Oh, Phoebe, I'm sorry! Phoebe has prepared something as well."
Joey Tribbiani,Joey Tribbiani,"Oh, Monica and Chandler's recommendation. I want it to sound smart but.. I don't know any big words or anything, so...",Ross Geller: What... what you working on?
Rachel Green,Rachel Green,I think it is.,"Ross Geller: Yeah, yeah! You sure this is what you want?"
Phoebe Buffay,Phoebe Buffay,Hey. Everything ok?,Joey Tribbiani: Hey Phoebe.
Chandler Bing,Chandler Bing,"I dunno, aren't there tests for these things, right?",Monica Geller: How?
Rachel Green,Rachel Green,"Oh, Pheebs, baby, that's nice but, you know what, I think I'm ok. Why don't you give it to one of your other single girlfriends?","Phoebe Buffay: It's, yes, my little black book. It's got the numbers of all the guys I've dated."
Joey Tribbiani,Joey Tribbiani,"Hey, I'm not that fond of you either, ok buddy? But I'm just trying to be nice for the kids!","Joey Tribbiani: You know, on the one hand you're happy for them, but on the other hand it's hard to let go."
Phoebe Buffay,Monica Geller,"Oh, I didn't know you wanted her too!","Rachel Green: Oh, and Monica gets to keep her? In her house? I am so jealous!"
Monica Geller,Monica Geller,Six o'clock!,"Phoebe Buffay: Ok, so... 1800 minus twelve is... one thousand, seven hundred and..."
Ross Geller,Ross Geller,You should go.,"Rachel Green: Well yeah, but I mean, it was good scared though, you know? Like when I-moved-to-New-York scared. Or uhm, when I-found-out-I-was-gonna-have-Emma scared... But this is... fine. This is gonna be good."
Joey Tribbiani,Joey Tribbiani,It did not.,Chandler Bing: Did that movie ever get made?
Joey Tribbiani,Rachel Green,"Uhh, 11!",Ross Geller: Two seconds...
Ross Geller,Ross Geller,Seriously?,"Rachel Green: All right, well, if you must know... I had a traumatic... swing incident... when I was little."
Ross Geller,Ross Geller,And you know I wanted to ask Charlie out since the day I met her.,Rachel Green: Uh-huh... right... yeah...
Joey Tribbiani,Joey Tribbiani,"No, no, no. You actually did that when you were dancing to the Chicago-soundtrack. Look, Ross, about, about Rachel and I. Listen, you don't have to worry about that, okay? Because nothing is gonna happen.",Ross Geller: So you took off my pants and shoes?
Ross Geller,Ross Geller,"I'm sorry, it must be the pressure of entertaining. I think everyone would feel better if we had some flan.","Rachel Green: Ross, you don't seem okay."
Rachel Green,Rachel Green,"So you eh, you talked to Joey?",Ross Geller: Hi!
Ross Geller,Ross Geller,"One Mississipi, two Mississipi, Three Mis... WAIT! WAIT! I'm not-I've not finished counting!!","Ross Geller: Well, I have a PhD, so..."
Joey Tribbiani,Rachel Green,Wow.,Ross Geller: Forty-five minutes.
Joey Tribbiani,Ross Geller,Stop saying good night.,"Rachel Green: Seriously, good night!"
Rachel Green,Rachel Green,"Oh, that was just my crazy friend. She told me I should get off the plane, because she had a feeling that there was something wrong with the left Philange.","Rachel Green: Alright, look, I have to go. I love you, and I will call you the minute I get to Paris."
Monica Geller,Monica Geller,"Oh, okay. Alright, it's flight 421. Leaves at 8:40.",Ross Geller: That is precious! Listen! I need Rachel's flight information.
Ross Geller,Ross Geller,What are you guys doing?,"Monica Geller: Mhm, helpful brother - creepy loner at teen movie."
Rachel Green,Rachel Green,Alright fine. I'll do it.,"Ross Geller: Look, I just think you're an adult, okay? And you should get over your silly fears."
Monica Geller,Monica Geller,"Oh, no. He doesn't have time for that. But if you want, you can go help him and Joey pack up the guest room.","Ross Geller: Hey, is Chandler here? We talked about catching a movie."
Ross Geller,Ross Geller,"Okay, you ready?",Rachel Green: Okay.
Rachel Green,Rachel Green,Hi! Oh my gosh!,Ross Geller: Oh my God!
Phoebe Buffay,Phoebe Buffay,"All right, let's see, call me mrs Hannigan.","Phoebe Buffay: Thanks! Honey, would you want me to take your name?"
Phoebe Buffay,Phoebe Buffay,"Oh, how cute!",Rachel Green: You gotta see these latest pictures of Emma.
Chandler Bing,Chandler Bing,"Yeah, yeah, yeah! I want you... I need you... I must have you Janice Litman Goralnik Neihosenstein.",Chandler Bing: I never stopped loving you.
Rachel Green,Rachel Green,"Gunther... Oh... I love you too. Probably not in the same way, but I do. And, and when I'm in a cafe, having coffee, or I see a man with hair brighter than the sun, I'll think of you. Aw.",Rachel Green: Yeah?
Ross Geller,Joey Tribbiani,You know what? This calls for a bottle of Israels finest.,Rachel Green: He offered me one.
Ross Geller,Joey Tribbiani,"Hey, Missy...",Chandler Bing: Hey!
Rachel Green,Rachel Green,"Awe! Oh my God! Looks, she's a little dare-devil! Oh, let me push, can I push?","Ross Geller: See, I told you!"
Joey Tribbiani,Ross Geller,"But what you saw, that is the extent of it, okay? One kiss.",Rachel Green: Shhh.
Ross Geller,Ross Geller,"Oh, ye-ah!","Rachel Green: Hey uhm, do you remember that one really great time...?"
Monica Geller,Monica Geller,Oh my God!,Chandler Bing: I know. You're right. What's it gonna take for you to forgive me?
Rachel Green,Rachel Green,"Aaah... Ross, actually there's something that I really need to talk to you about.","Ross Geller: Ooh hey, Emma, daddy has some presents for you okay? Okay? I want you to wait right here. Come here sweetie."
Rachel Green,Rachel Green,"Oh! Oh! Oh my God! Ohhh, ohhh, wow, that ear and nose hair trimmer I got him was just money down the drain, huh?",Ross Geller: I'm feeling better.
Chandler Bing,Chandler Bing,I think.... I think I can see your scalp.,Monica Geller: What do you think?
Rachel Green,Rachel Green,"Well, he's coming from Jersey, he said he would get here as fast as he could!","Monica Geller: Hey, where is this guy, it's been over an hour!"
Phoebe Buffay,Phoebe Buffay,"Okay, oh, and Emma needs a cowgirl outfit for the competition.","Rachel Green: ...is something I'm very interested in! Oh please, do not tell Ross. He still believes that what's in the inside is important..."
Rachel Green,Monica Geller,"Oh, good, good! We had this idea to make a birthday video for Emma and we'll give it to her when she is 18.","Ross Geller: Hey, I brought the camera for Emma's video."
Rachel Green,Rachel Green,Can any of you watch Emma?,Ross Geller: I don't think that's what this is.
Ross Geller,Ross Geller,Yeah...,Rachel Green: All right. ALL RIGHT! I'm gonna do it. I'm gonna go to Paris.
Joey Tribbiani,Joey Tribbiani,'Cause we will appreciate it more when she's gone?,"Rachel Green: Well Joey, uhm look, I know that she's difficult, but I think it's really good that she's here."
Phoebe Buffay,Ross Geller,YEAH!,"Rachel Green: OH! What's it the anniversary of? Your first date, your first kiss, first time you had sex..."
Chandler Bing,Chandler Bing,"Yeah. I mean, this girl could decide against adoption or she could like another couple better..",Monica Geller: And a lot could still get in our way.
Rachel Green,Rachel Green,Oh my God!,"Ross Geller: Yeah! yeah, I got tenure!"
Phoebe Buffay,Ross Geller,Guess we'll never know how it ends.,Rachel Green: Morning!
Ross Geller,Ross Geller,"No, you don't.",Rachel Green: I - I have to get on the plane.
Joey Tribbiani,Joey Tribbiani,A meatball Sub? Thanks!,Ross Geller: I love this.
Rachel Green,Rachel Green,What?,Ross Geller: Hey!
Rachel Green,Rachel Green,"Yes you are! Oh, I am so proud of you!","Rachel Green: Oh, good for you!"
Ross Geller,Ross Geller,Hey guys.,Rachel Green: Ugh.
Chandler Bing,Chandler Bing,"Well, we have to do something. We can't have her living next door. Oh, that does it too.","Monica Geller: Okay, but if we don't get this house, she's stil gonna show up wherever we go! I mean, at least if she's here, it eliminates the element of suprise. I mean, never again will you have to hear the three words that make your balls jump back up inside your body."
Joey Tribbiani,Joey Tribbiani,Oooooh!,"Chandler Bing: But if we win, we get your apartment."
Chandler Bing,Chandler Bing,"Fine, but if we end up not doing this Maxim thing because of this party...","Monica Geller: All right, we'll stay. We can just drive up after the party."
Ross Geller,Joey Tribbiani,"Wha...? Oh sure, now they lock it, but when they're having sex on the couch, its like: ""Come on in, my butt is surprisingly hairy"".",Phoebe Buffay: It's locked.
Joey Tribbiani,Ross Geller,What did I just say?,Ross Geller: Why don't you use your Thesaurus?
Chandler Bing,Joey Tribbiani,Hey! Stop staring at my wife's legs! No no! Stop staring at your sister's legs!,Ross Geller: WOW!
Monica Geller,Monica Geller,Why? What did you do in the bathroom?,Chandler Bing: We have to leave!!
Ross Geller,Ross Geller,It really was.,Rachel Green: You too. Last night was just wonderful.
Ross Geller,Ross Geller,You did?,"Ross Geller: Yeah, why?"
Chandler Bing,Chandler Bing,"Look, Monica has been working hard all day, she didn't wanna host this thing in the first place, we shouldn't go!","Joey Tribbiani: Dude, two times that happened!"
Ross Geller,Phoebe Buffay,Are you kidding?,Phoebe Buffay: Hey!
Chandler Bing,Chandler Bing,"Yeah. Just weird, you know. It's like: ""Hi, I'm Chandler. May I have the human growing inside you?""","Monica Geller: Ok, thank you. Uh, well this is it. Are you OK?"
Joey Tribbiani,Joey Tribbiani,Shouldn't we all vote on stuff like this?!,Ross Geller: Oh my God.
Rachel Green,Rachel Green,"Ok, careful, ok. Oh, she's smiling! Oh my God, she does like it!",Ross Geller: Here we go!
Monica Geller,Monica Geller,"I proposed to Chandler! Alright, moving on...","Phoebe Buffay: Oh, I don't know, I don't know, isn't that a little desperate?"
Phoebe Buffay,Phoebe Buffay,"No, he really hates it. But he's gonna let me keep my box of human hair! So you got to pick your battles. But the good news is, Gladys is yours!","Monica Geller: Hey, how did it go with Mike, is he gonna let you keep the painting?"
Phoebe Buffay,Ross Geller,"That woman at the game didn't know what she was talking about. Mike, obviously you have balls.",Rachel Green: Did you just say Emma?
Joey Tribbiani,Rachel Green,Ross..,"Ross Geller: Absolutely. I'm fine! Totally fine. I don't know why it's coming out all loud and squeaky, 'cause really, I'm fine. I'm not saying I wasn't a little surprised to see you guys kissing. I mean, at first I was like.. But now that I've had time to absorb it; Lovin' this."
Rachel Green,Rachel Green,Ugh.,"Ross Geller: Oh yeah, I'm sure he's gonna give you a job. Maybe make you his SEXretary."
Monica Geller,Monica Geller,"Oh Joey, look, we know you're having a hard time with this, but we really, we love it here.","Joey Tribbiani: Maybe. Well, I just think you guys can do better than this house, you know? Or any other house for that matter."
Rachel Green,Rachel Green,Shhh.,"Joey Tribbiani: Rach, he just saw us."
Phoebe Buffay,Phoebe Buffay,"Sure, yeah!","Rachel Green: Well, this sounds like fun! Well, you know what? Actually? People are getting a little antsy waiting Emma to wake up from her nap, so would you mind performing them once now?"
Monica Geller,Ross Geller,"Uhm, she has been showing us houses outside of the city.",Phoebe Buffay: Why do you have a realtor?
Chandler Bing,Chandler Bing,"Yeah, but it was like a million years ago, so it doesn't matter.",Monica Geller: Oh my God! That's wild!
Chandler Bing,Chandler Bing,Like war. Or that thing in Joey's refrigerator. Remember? It was in a milk carton but it looked like meat?,Monica Geller: Because there are so many terrible sights in this world.
Joey Tribbiani,Joey Tribbiani,"Don't you put words in people's mouths, you put turkey in people's mouths!",Ross Geller: She's putting words in your mouth!
Rachel Green,Rachel Green,"Well, Phoebe that's fine because I'm not moving.",Phoebe Buffay: You're just so mean to each other! And I don't want to end up like that with Rachel. I still like you!
Ross Geller,Monica Geller,Is-is he ok?,Chandler Bing: I'm so sorry...
Joey Tribbiani,Joey Tribbiani,"Uh, lame cool guy handshake, yeah.","Chandler Bing: I think there may be another reason. So, awkward hug or lame cool guy handshake?"
Ross Geller,Monica Geller,"See, I told you!","Rachel Green: Ok, careful, ok. Oh, she's smiling! Oh my God, she does like it!"
Phoebe Buffay,Joey Tribbiani,"All right, here it goes...","Joey Tribbiani: Yeah. All right, now give me your best shot."
Chandler Bing,Chandler Bing,"Now that you live next door, we can be together every day. Sid and Monica never have to know a thing.","Chandler Bing: Yeah, yeah, yeah! I want you... I need you... I must have you Janice Litman Goralnik Neihosenstein."
Ross Geller,Ross Geller,"Okay, okay, awkward question. The hospital knows you took two, right?",Rachel Green: What... What...
Monica Geller,Monica Geller,"Ohhh! Let me see! Oh God, I can't believe this! They're an hour late and they're just staying out there, talking!",Chandler Bing: They're out there!
Chandler Bing,Chandler Bing,They're out there!,Monica Geller: Do you hear something?
Rachel Green,Chandler Bing,Hmmm... Me too...,"Joey Tribbiani: I don't get it. I mean, I was so sure this was what I wanted."
